id,"text","author"
id1817,"The dear little ear which I had kissed so often.","ACD"
id4103,"Psychoanalysis, what?","ACR"
id1607,"But I stood as a debonair soldier should, and I could not but reflect how much credit I was bringing upon the Hussars of Conflans by the dignity of my bearing.","ACD"
id6793,"you don’t look at him with my impartial eyes.","WKL"
id6532,"Almost at the same moment Miss Garth entered the hall from the morning-room.","WKL"
id6771,"The only excuse which a poor gentleman has for presuming to exist in the nineteenth century, is the excuse of extraordinary ability.","WKL"
id15,"The bent head, the averted eye, the faltering voice, the wincing figure--these, and not the unshrinking gaze and frank reply, are the true signals of passion.","ACD"
id1543,"By the saints, Matteo, I tell you that you have broken his neck.","ACD"
id2285,"All was ready two days ago.","ACD"
id3301,"A shrewd, hard look came into Miss Marvell’s eyes which belied their childlike appearance.","ACR"
id496,"I rather think you must.","ACD"
id5974,"She sprang forward and prevented Lady Jane from leaving the room.","WKL"
id1514,"How long I lay there at the bottom of the boat I can not tell; but it seemed to me to be a long time, and always there were the hiss of the waters and the steady creaking of the oar.","ACD"
id5850,"A charming house.","WKL"
id2076,"There is certainly truth in what you say, Captain Gerard, said he.","ACD"
id1631,"I allowed these rascals to seize me, and I was led from the room, the gondolier walking at my side with a long naked knife in his hand.","ACD"
id2088,"The colonel led me into a roofless house, and there I found two general officers, a map stretched over a drum in front of them, they kneeling beside it and examining it carefully by the light of a lantern.","ACD"
id2705,"Well, well, my dear, we must see what can be done.","ACR"
id2653,"No, I don’t, I said firmly.","ACR"
id5670,"Six weeks before I was married.","WKL"
id363,"The door was opened by an odd, swarthy, dried-up person of uncertain age, with a dark pilot jacket and brown leather gaiters.","ACD"
id6711,"Testing it plainly by facts, surely not.","WKL"
id5278,"This part of the building had been uninhabited and neglected for more than half a century past.","WKL"
id4161,"Having no near relations or friends, I was trying to make up my mind what to do, when I ran across John Cavendish.","ACR"
id382,"If you are forewarned you will be the more ready to make allowances.","ACD"
id2113,"If we can carry it the city must fall, but they have run countermines all round it, and the walls are so enormously thick that it would be an immense labour to breach it with artillery.","ACD"
id4781,"I turned to Lawrence, to suggest that I had better leave them now that there was no further need of my services, but the words were frozen on my lips.","ACR"
id6149,"Lady Lundie put her ear close to them, and heard the dreadful question reiterated, in the same dreadful words: She is Anne Silvester--as I was.","WKL"
id2434,"No, no, that is not the way of it.","ACR"
id2125,"Precisely.","ACD"
id619,"Obviously at the       moment when Dr. Mortimer withdrew from the service of the       hospital in order to start a practice for himself.","ACD"
id2589,"He turned a reproachful eye upon me.","ACR"
id2894,"But the next morning brought a surprise.","ACR"
id6558,"After they had left the village, and had entered the road which led straight to the house, Magdalen surprised Miss Garth by announcing that the stranger in black had turned, after they had passed him, and was now following them.","WKL"
id806,"The             evidence of the Barrymores shows that this had been his             custom.","ACD"
id4039,"Poirot made a characteristic gesture as we walked down the drive together.","ACR"
id4007,"Enough!","ACR"
id4651,"To which Mrs. Inglethorp replied:  My dear Mary, it has nothing to do with that matter.","ACR"
id6163,"He came back.","WKL"
id1127,"Why, yes, said he, and the strange thing is, Mr. Sherlock       Holmes, that if my friend here had not proposed coming round to       you this morning I should have come on my own account.","ACD"
id3842,"The arrival of a diamond expert is announced.","ACR"
id1081,"There are two questions waiting for us at the outset.","ACD"
id509,"I'm fifteen stone, as hard as nails, and play center three-quarter every Saturday for the London Irish.","ACD"
id3383,"You have received blackmailing letters about the diamond.","ACR"
